,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
53,blackassign0055,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,28,8,0.55555554,0.055727554,15.23076923,0.48989899,6.288267288,7.408385093,291,592,2.618717504,5,6.910472973
54,blackassign0056,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,19,9,0.357142844,0.057494866,16.76,0.515513126,6.910205251,7.408385093,216,418,2.911764706,2,7.466507177
55,blackassign0057,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,21,9,0.399999987,0.080213904,10.46875,0.543283582,4.404813433,7.408385093,182,332,2.951367781,1,7.734939759
56,blackassign0058,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,11,1,0.833333264,0.043321299,16.57142857,0.581896552,6.861330049,7.408385093,135,232,3.057522124,3,8.047413793
57,blackassign0059,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,38,-0.134328356,0.10485133,9.661016949,0.431578947,4.037038359,7.408385093,246,563,2.564831261,14,6.834813499
58,blackassign0060,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,14,3,0.647058785,0.061151079,17.5,0.53877551,7.215510204,7.408385093,132,244,2.894957983,2,7.549180328
59,blackassign0061,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,39,11,0.559999989,0.082101806,12.36363636,0.590073529,5.181483957,7.408385093,321,544,2.983050847,1,7.744485294
60,blackassign0062,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,7,8,-0.066666662,0.058823529,18.41666667,0.538461538,7.582051282,7.408385093,119,219,2.915492958,5,7.657534247
61,blackassign0063,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,15,26,-0.268292676,0.116477272,13.83333333,0.490963855,5.729718876,7.408385093,163,323,2.756923077,6,7.368421053
62,blackassign0064,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32,47,-0.189873415,0.064175467,14.17948718,0.540687161,5.888069736,7.408385093,598,1105,2.830291971,17,7.583710407
63,blackassign0065,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,47,24,0.323943657,0.067942584,13.86666667,0.433653846,5.720128205,7.408385093,451,1032,2.575817641,19,6.775193798
64,blackassign0066,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,39,27,0.181818179,0.061452514,13.1369863,0.441084463,5.431228306,7.408385093,423,956,2.545649839,17,6.771966527
65,blackassign0067,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,6,0.657142838,0.058626466,7.464788732,0.48490566,3.179877757,7.408385093,257,521,2.66407767,1,7.101727447
66,blackassign0068,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,48,9,0.684210514,0.065217391,13.20967742,0.468864469,5.471416755,7.408385093,384,816,2.554171856,5,6.832107843
67,blackassign0069,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,36,7,0.674418589,0.106172839,18,0.518518519,7.407407407,7.408385093,196,376,2.817204301,9,7.242021277
68,blackassign0070,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,48,16,0.499999992,0.055603823,14.73611111,0.51460886,6.100287988,7.408385093,546,1058,2.746883988,8,7.107750473
69,blackassign0071,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,28,71,-0.43434343,0.140226629,8.797297297,0.483870968,3.712467306,7.408385093,315,645,2.630434783,12,6.998449612
70,blackassign0072,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,68,23,0.494505489,0.11360799,9.2625,0.406207827,3.867483131,7.408385093,301,736,2.463648834,6,6.747282609
71,blackassign0073,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,28,33,-0.081967212,0.077905492,14.19607843,0.39640884,5.836994908,7.408385093,287,723,2.423850575,1,6.634854772
72,blackassign0074,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,28,22,0.119999998,0.059594756,10.41666667,0.521333333,4.3752,7.408385093,391,746,2.768707483,7,7.446380697
73,blackassign0075,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,27,74,-0.46534653,0.139502762,9.6,0.488095238,4.035238095,7.408385093,328,664,2.61746988,14,6.980421687
74,blackassign0076,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,26,12,0.368421043,0.067256637,13.26315789,0.488095238,5.500501253,7.408385093,246,503,2.616977226,6,7.033797217
75,blackassign0077,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,14,7,0.333333317,0.06,20.13333333,0.496688742,8.25200883,7.408385093,150,302,2.821917808,1,7.437086093
76,blackassign0078,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,14,7,0.333333317,0.06,20.13333333,0.496688742,8.25200883,7.408385093,150,302,2.821917808,1,7.437086093
77,blackassign0079,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,27,30,-0.052631578,0.06354515,13.27419355,0.484811665,5.503602085,7.408385093,399,819,2.620300752,6,7.051282051
78,blackassign0080,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,40,12,0.538461528,0.018888485,9.059288538,0.403577661,3.78514648,7.408385093,925,2290,2.396271511,1,6.351528384
79,blackassign0081,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,41,43,-0.023809524,0.074666667,12.07954545,0.501411101,5.032382622,7.408385093,533,1058,2.646435453,11,7.104914934
80,blackassign0082,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,34,65,-0.31313131,0.085418464,15.64179104,0.565839695,6.483052296,7.408385093,593,1048,2.785714286,1,7.336832061
81,blackassign0083,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,9,2,0.636363579,0.043650793,19.72727273,0.534562212,8.104733976,7.408385093,116,216,2.995192308,3,7.685185185
